feature,label,x1,x2,WQM,y1,y2
Anth,Anth_L,200,600,1.6666666666666667,1.1666666666666667,2.166666666666667
Anth,Anth_M,600,800,2.7301587301587302,2.2301587301587302,3.2301587301587302
Anth,Anth_H,800,1000,3.8529411764705883,3.3529411764705883,4.352941176470589
Anth,Anth_VH,1000,1400,4.75,4.25,5
BW,BW_L,1,1.6,3.8,3.3,4.3
BW,BW_M,1.6,2,2.941747572815534,2.441747572815534,3.441747572815534
BW,BW_H,2,2.5,1.7692307692307692,1.2692307692307692,2.269230769230769
TSS,TSS_L,15,21,1.8571428571428572,1.3571428571428572,2.357142857142857
TSS,TSS_H,21,30,3.128440366972477,2.628440366972477,3.628440366972477
TA,TA_L,3,5,2.142857142857143,1.6428571428571428,2.642857142857143
TA,TA_M,5,7,2.80188679245283,2.30188679245283,3.30188679245283
TA,TA_H,7,12,3.2916666666666665,2.7916666666666665,3.7916666666666665
